,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
0,齐门,0,0.0,别墅,华润平门府,低,0,0.0,107102694111,1880.0,华润平门府 8室4厅 1880万_苏州姑苏齐门华润平门府二手房(苏州链家),2020-06-19,8室4厅,472.74, (共2层),39769,2,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,472.0,1.0,0.0,23000,0.0,5000.0,28000.0,1104.1024
1,南门,1,10.6,普通住宅,南门世纪花园,高,0,0.0,107102659535,438.0,平直南门世纪花园4楼复式带汽车库精装修家具家电齐全_苏州姑苏南门南门世纪花园二手房(苏州链家),2020-06-11,5室2厅,99.2, (共4层),44154,4,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,99.0,0.0,0.0,21000,0.0,530.0,21530.0,213.147
2,金门,0,0.0,别墅,寒舍,低,0,0.0,107102660078,595.0,寒舍 4室2厅 595万_苏州姑苏金门寒舍二手房(苏州链家),2020-06-11,4室2厅,198.0, (共1层),30051,1,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,198.0,1.0,0.0,20000,0.0,5000.0,25000.0,495.0
3,娄门,1,10.32,普通住宅,塘坊苑,高,0,0.0,107102662049,340.0,稀有复式，房子保养好，采光无遮挡。_苏州姑苏娄门塘坊苑二手房(苏州链家),2020-06-12,4室2厅,115.0, (共5层),29566,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,115.0,0.0,0.0,21000,0.0,-484.0,20516.0,235.934
4,留园西园,1,12.9,普通住宅,御庭苑,高,0,0.0,107102662116,329.5,御庭苑大复式，户型好，自行车库，看房有钥匙_苏州姑苏留园西园御庭苑二手房(苏州链家),2020-06-12,4室2厅,153.0, (共5层),21536,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,153.0,0.0,0.0,20000,0.0,-355.0,19645.0,300.5685
5,留园西园,0,0.0,普通住宅,长盛花园,高,0,0.0,107102662140,330.0,长盛花园，精装修，独库，自住， 诚心出售，看中可谈_苏州姑苏留园西园长盛花园二手房(苏州链家),2020-06-12,5室2厅,156.0, (共4层),21154,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,156.0,0.0,0.0,20000,0.0,-1000.0,19000.0,296.4
6,留园西园,0,0.0,普通住宅,倪家苑,高,0,0.0,107102662135,310.0,大复式房，有自行车库，精装修，随时可看，随时签约_苏州姑苏留园西园倪家苑二手房(苏州链家),2020-06-12,5室3厅,133.0, (共6层),23309,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,133.0,0.0,0.0,20000,0.0,-3000.0,17000.0,226.1
7,留园西园,0,0.0,普通住宅,春馨园B区,高,0,0.0,107102662167,218.0,急售春馨园5楼复式户型正气独库使用面积大生活便利_苏州姑苏留园西园春馨园B区二手房(苏州链家),2020-06-12,4室2厅,121.0, (共5层),18017,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,121.0,0.0,0.0,20000,0.0,-2000.0,18000.0,217.8
8,苏州大学,2,18.95,普通住宅,相门新村,高,0,0.0,107102663323,370.0,地铁口相门新村大复式含汽车库电动车库_苏州姑苏苏州大学相门新村二手房(苏州链家),2020-06-12,4室2厅,152.5, (共4层),24263,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,152.0,0.0,0.0,20000,0.0,947.5,20947.5,318.402
9,南门,0,0.0,普通住宅,万丽花园,低,0,0.0,107102663393,570.0,万丽花园 4室2厅 570万_苏州姑苏南门万丽花园二手房(苏州链家),2020-06-12,4室2厅,187.0, (共3层),30482,3,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,187.0,0.0,0.0,21000,0.0,500.0,21500.0,402.05
10,留园西园,1,5.3,普通住宅,闻钟苑一区,高,0,0.0,107102664327,247.6,"闻钟苑，顶楼复式，五室多厅多卫，带大晒台,诚心出售_苏州姑苏留园西园闻钟苑一区二手房(苏州链家)",2020-06-12,5室3厅,99.9, (共5层),24785,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,99.0,0.0,1.0,20000,0.0,9174.90990990991,29174.90990990991,288.8316081081081
11,胥江,0,0.0,普通住宅,润达新村,高,0,0.0,107102666531,223.0,买一套得两套 四室两厅两厨两卫 精装拎包入住_苏州姑苏胥江润达新村二手房(苏州链家),2020-06-12,4室2厅,97.2, (共6层),22943,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,20000,0.0,-3000.0,17000.0,164.9
12,留园西园,0,0.0,别墅,玖园,低,0,0.0,107102670313,785.0,有钥匙 市区新上联排别墅 满五年南北院子 价格可谈_苏州姑苏留园西园玖园二手房(苏州链家),2020-06-13,5室2厅,343.98, (共3层),22822,3,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,343.0,1.0,0.0,20000,0.0,5000.0,25000.0,779.03875
13,胥江,0,0.0,普通住宅,梅亭苑,高,0,0.0,107102671249,230.0,梅亭苑 精装复式 业主自住 保养好 独库 南北通风_苏州姑苏胥江梅亭苑二手房(苏州链家),2020-06-13,4室2厅,132.0, (共5层),17425,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,132.0,0.0,0.0,20000,0.0,-2000.0,18000.0,237.6
14,虎丘,0,0.0,普通住宅,虎阜花园东区,高,0,0.0,107102672426,310.0,顶楼复式，房龄新，采光充足，房间多，_苏州姑苏虎丘虎阜花园东区二手房(苏州链家),2020-06-14,6室3厅,159.57, (共5层),19428,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,159.0,0.0,1.0,17000,0.0,1000.0,18000.0,286.2
15,胥江,0,0.0,普通住宅,新康花园,高,0,0.0,107102674772,408.0,新康花园 6室2厅 408万_苏州姑苏胥江新康花园二手房(苏州链家),2020-06-14,6室2厅,185.0, (共6层),22055,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,185.0,0.0,0.0,20000,0.0,-3000.0,17000.0,314.5
16,留园西园,0,0.0,普通住宅,莲花新村（姑苏）,高,0,0.0,107102675467,190.0,莲花新村（姑苏） 4室1厅 190万_苏州姑苏留园西园莲花新村（姑苏）二手房(苏州链家),2020-06-14,4室1厅,77.82, (共5层),24416,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,77.0,0.0,0.0,20000,0.0,-2000.0,18000.0,138.6
17,石路,0,0.0,普通住宅,胡家浜,高,0,0.0,107102676645,230.0,全新精装修，大四房两厅，石路地铁107平 230万_苏州姑苏石路胡家浜二手房(苏州链家),2020-06-15,4室2厅,107.0, (共6层),21496,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,107.0,0.0,0.0,20000,0.0,-3000.0,17000.0,181.9
18,胥江,1,22.65,普通住宅,新康花园,高,0,0.0,107102676462,365.0,新康难得见的H装，带地暖 实际 实YONG两百平值得实地_苏州姑苏胥江新康花园二手房(苏州链家),2020-06-14,6室1厅,121.0, (共6层),30166,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,121.0,0.0,0.0,20000,0.0,-867.5,19132.5,231.50325
19,虎丘,0,0.0,普通住宅,虎阜花园西区,高,0,0.0,107102676840,225.0,轻轨6号线  虎阜西区 毛坯4房复式 满2年_苏州姑苏虎丘虎阜花园西区二手房(苏州链家),2020-06-15,4室1厅,99.0, (共5层),22728,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,17000,0.0,-2000.0,15000.0,148.5
20,胥江,1,11.25,普通住宅,新康花园,高,0,0.0,107102679086,218.0,新康花园 4室1厅 218万_苏州姑苏胥江新康花园二手房(苏州链家),2020-06-15,4室1厅,69.73, (共5层),31264,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,69.0,0.0,0.0,20000,0.0,-437.5,19562.5,134.98125
21,南门,2,19.03,普通住宅,大龙港新村,高,0,0.0,107102679481,280.0,2001年商品房，精装修，拎包直接入住，离地铁站近_苏州姑苏南门大龙港新村二手房(苏州链家),2020-06-15,4室3厅,135.27, (共6层),20700,6,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,135.0,0.0,0.0,21000,0.0,-1048.5,19951.5,269.34525
22,留园西园,0,0.0,普通住宅,中天品苑西区,高,0,0.0,107102679893,360.0,中天品苑，好地段，好户型、好房子、好价格；_苏州姑苏留园西园中天品苑西区二手房(苏州链家),2020-06-15,4室2厅,123.9, (共5层),29056,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,123.0,0.0,0.0,20000,0.0,-2000.0,18000.0,221.4
23,苏州大学,1,15.21,普通住宅,东环路1165号,高,0,0.0,107102679986,480.0,东环1号6号线商品房 带城平江 大复式带晒台 带大独库_苏州姑苏苏州大学东环路1165号二手房(苏州链家),2020-06-15,4室3厅,192.23, (共4层),24971,4,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,192.0,0.0,0.0,20000,-2000.0,760.5,18760.5,360.2016
24,胥江,0,0.0,普通住宅,公园天下,高,0,0.0,107102680178,580.0,精装顶复 满五唯一，位置好  装修保养好_苏州姑苏胥江公园天下二手房(苏州链家),2020-06-15,4室2厅,285.0, (共5层),20351,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,285.0,0.0,1.0,20000,0.0,1000.0,21000.0,570.21375
25,胥江,2,31.85,普通住宅,姑香苑,高,0,0.0,107102680886,275.0,姑香苑新上顶复，附带两个露台，保养很不错，看房方便_苏州姑苏胥江姑香苑二手房(苏州链家),2020-06-16,4室2厅,79.53, (共6层),34579,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,79.0,0.0,1.0,20000,0.0,9525.858481076324,29525.858481076324,233.25428200050294
26,金门,3,39.85,普通住宅,三香弄八号小区,高,0,0.0,107102680894,238.0,三香弄八号小区 4室2厅 238万_苏州姑苏金门三香弄八号小区二手房(苏州链家),2020-06-16,4室2厅,135.0, (共6层),17630,6,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,0.0,0.0,20000,-2000.0,-7.5,17992.5,242.89875
27,葑门,0,0.0,普通住宅,现代花园,高,0,0.0,107102687375,270.0,品牌婚装，全明通透户型，大空间复式，房东诚心卖。_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-17,4室2厅,111.0, (共5层),24325,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,111.0,0.0,0.0,20000,0.0,-2000.0,18000.0,199.8
28,苏州大学,0,0.0,普通住宅,东环路1165号,高,0,0.0,107102689437,420.0,满五年不唯一，有随时看房，也可上门直接看。_苏州姑苏苏州大学东环路1165号二手房(苏州链家),2020-06-18,5室2厅,193.0, (共5层),21762,5,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,193.0,0.0,0.0,20000,-2000.0,-2000.0,16000.0,308.8
