area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice
平江新城,1,10.49,普通住宅,梅花新村,高,0,0,107102814048,225,总价低，可谈，精装修房东自住，房东诚心出售_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-07-17,5室2厅,160, (共6层),14063
平江新城,1,12.28,别墅,大观花园,低,1,21.94,107102780647,998,大观花园 5室3厅 998万_苏州姑苏平江新城大观花园二手房(苏州链家),2020-07-09,5室3厅,245, (共1层),40735
金阊新城,0,0,普通住宅,南山金城1958,低,0,0,107102783345,450,南山金城1958 4室2厅 450万_苏州姑苏金阊新城南山金城1958二手房(苏州链家),2020-07-09,4室2厅,141.5, (共6层),31803
齐门,0,0,别墅,华润平门府,低,0,0,107102784427,1850,平门府 南进门三期独栋 收藏级传世别墅_苏州姑苏齐门华润平门府二手房(苏州链家),2020-07-10,5室2厅,466, (共2层),39700
金门,1,14.95,普通住宅,银杏苑(姑苏区),高,0,0,107102784424,350,金茂府旁新上银杏苑5楼复式 全明户型 随时看房_苏州姑苏金门银杏苑(姑苏区)二手房(苏州链家),2020-07-10,5室2厅,230, (共5层),15218
桃花坞,0,0,别墅,宋仙洲巷散盘,低,0,0,107102784449,3100,民国银行行长洋房占地一亩 一墅难求 怀旧的经典_苏州姑苏桃花坞宋仙洲巷散盘二手房(苏州链家),2020-07-10,5室3厅,420, (共2层),73810
留园西园,0,0,别墅,嘉业阳光城,低,0,0,107102788588,680,嘉业阳光城联排别墅，东边户彩光好，院子大草坪；_苏州姑苏留园西园嘉业阳光城二手房(苏州链家),2020-07-10,4室2厅,189.12, (共1层),35957
南门,0,0,普通住宅,新桥巷,高,0,0,107102789255,215,满五唯一，房东自住精装修，二合一车库_苏州姑苏南门新桥巷二手房(苏州链家),2020-07-11,4室2厅,137, (共5层),15694
十全街,0,0,普通住宅,定慧寺巷社区,低,0,0,107102789277,456,定慧寺巷社区 4室2厅 456万_苏州姑苏十全街定慧寺巷社区二手房(苏州链家),2020-07-11,4室2厅,109.7, (共3层),41568
南门,0,0,普通住宅,泰华苑,高,0,0,107102789318,420,姑苏区，人民路，泰华苑，四楼复式有汽车库，诚售_苏州姑苏南门泰华苑二手房(苏州链家),2020-07-11,6室2厅,211.5, (共4层),19859
娄门,0,0,普通住宅,永林新村,低,1,15.98,107102789367,218,永林新村 4室1厅 218万_苏州姑苏娄门永林新村二手房(苏州链家),2020-07-11,4室1厅,60, (共6层),36334
留园西园,1,9.12,普通住宅,春馨园D区,高,0,0,107102790969,199,房子复式顶带阁，视野开阔，房型好_苏州姑苏留园西园春馨园D区二手房(苏州链家),2020-07-11,4室2厅,108.03, (共5层),18421
苏州大学,0,0,别墅,万科长风别墅,低,0,0,107102791172,1720,万科长风别墅，近地铁，清水毛坯。_苏州姑苏苏州大学万科长风别墅二手房(苏州链家),2020-07-11,4室2厅,324.55, (共3层),52997
虎丘,0,0,普通住宅,虎阜花园西区,高,0,0,107102791845,278,虎阜花园，4室两厅，精装修，满5年，楼下77平户型_苏州姑苏虎丘虎阜花园西区二手房(苏州链家),2020-07-11,4室2厅,120, (共5层),23167
虎丘,0,0,普通住宅,虎阜花园东区,高,0,0,107102791917,220,此房采光好，视野佳，诚意出售，看房提前约_苏州姑苏虎丘虎阜花园东区二手房(苏州链家),2020-07-11,4室2厅,100, (共5层),22000
虎丘,0,0,普通住宅,虎阜花园东区,高,0,0,107102791943,250,虎阜花园东区 4室2厅 250万_苏州姑苏虎丘虎阜花园东区二手房(苏州链家),2020-07-11,4室2厅,122, (共5层),20492
胥江,0,0,普通住宅,梅亭苑,高,0,0,107102792447,234,梅亭苑 4室2厅 234万_苏州姑苏胥江梅亭苑二手房(苏州链家),2020-07-11,4室2厅,112, (共5层),20893
南门,1,26.38,别墅,佳安别院,低,1,27.22,107102795193,1380,佳安别院古城区4层别墅，精装修，等待有品位的你!_苏州姑苏南门佳安别院二手房(苏州链家),2020-07-12,5室2厅,215, (共1层),64187
金门,0,0,普通住宅,三元二村,高,0,0,107102796275,240,西环地铁口 三元二村 装修一年多_苏州姑苏金门三元二村二手房(苏州链家),2020-07-12,4室2厅,141.85, (共7层),16920
胥江,2,21.25,普通住宅,盘景苑,高,0,0,107102796669,560,盘景苑顶楼复式精装 户型方正采光亮瞎了眼_苏州姑苏胥江盘景苑二手房(苏州链家),2020-07-12,6室1厅,200.33, (共5层),27954
娄门,1,7.99,普通住宅,日规路1号,高,0,0,107102798393,245,东环路 日规路1号 顶楼复式 采光好 满五年唯一_苏州姑苏娄门日规路1号二手房(苏州链家),2020-07-12,4室2厅,116, (共6层),21121
齐门,0,0,普通住宅,平齐花苑,低,0,0,107102798414,408,平齐花苑 一楼复式带汽车库 楼下90平不体现三开间朝南_苏州姑苏齐门平齐花苑二手房(苏州链家),2020-07-12,7室3厅,197.82, (共4层),20625
留园西园,0,0,普通住宅,新庄二村,高,0,0,107102799974,220,新庄二村 4室2厅 220万_苏州姑苏留园西园新庄二村二手房(苏州链家),2020-07-13,4室2厅,113, (共6层),19470
虎丘,0,0,普通住宅,虎阜花园西区,高,0,0,107102800455,240,虎阜花园西区66平米，简单装修，  交通方便。_苏州姑苏虎丘虎阜花园西区二手房(苏州链家),2020-07-13,4室2厅,99, (共5层),24243
南门,0,0,普通住宅,人民路五号,高,0,0,107102804140,512,满五唯一、单价低、护城河边环境好、交通方便_苏州姑苏南门人民路五号二手房(苏州链家),2020-07-14,4室2厅,128.24, (共4层),39926
平江新城,0,0,普通住宅,汇翠花园,高,0,0,107102806692,339,新上顶复  121+79  业主诚心出售  采光很好_苏州姑苏平江新城汇翠花园二手房(苏州链家),2020-07-15,5室2厅,200, (共5层),16950
胥江,0,0,普通住宅,新康花园,高,0,0,107102806861,396,新康花园 6室3厅 396万_苏州姑苏胥江新康花园二手房(苏州链家),2020-07-15,6室3厅,221.08, (共6层),17913
平江新城,0,0,普通住宅,汇翠花园,高,0,0,107102808583,380,汇翠花园 5室2厅 380万_苏州姑苏平江新城汇翠花园二手房(苏州链家),2020-07-15,5室2厅,176, (共5层),21591
胥江,0,0,普通住宅,润达新村,高,0,0,107102809696,370,四楼顶带阁，精装修，保养好，通透_苏州姑苏胥江润达新村二手房(苏州链家),2020-07-16,4室3厅,151, (共4层),24504
胥江,0,0,普通住宅,潼泾新村,高,0,0,107102811306,320,满五唯一，顶楼带双露台，有车库，房龄新，诚心卖！_苏州姑苏胥江潼泾新村二手房(苏州链家),2020-07-16,4室2厅,176.62, (共5层),18118
苏州大学,1,66.83,普通住宅,宏葑新村,高,0,0,107102780564,380,宏葑新村改善房超大晒台可自由发挥_苏州姑苏苏州大学宏葑新村二手房(苏州链家),2020-07-09,4室2厅,145, (共5层),26207
南门,1,7.93,普通住宅,南园南路34号,高,0,0,107102726236,328,南园南路 可用 复式两层 五个房间 带露台 近汇邻广场_苏州姑苏南门南园南路34号二手房(苏州链家),2020-06-27,5室1厅,105.22, (共6层),31173
平江新城,0,0,普通住宅,梅花三村,高,0,0,107102729854,285,梅花三村 复式 四房 满五唯一_苏州姑苏平江新城梅花三村二手房(苏州链家),2020-06-27,4室2厅,131, (共6层),21756
沧浪新城,0,0,普通住宅,水香六村,高,0,0,107102730421,350,此房包含汽车库 房型正 户型通透_苏州姑苏沧浪新城水香六村二手房(苏州链家),2020-06-27,6室3厅,210, (共6层),16667
桃花坞,2,17.34,普通住宅,东百花巷,低,0,0,107102732042,375,东百花巷顶带阁，自住装修，满五唯一，全明户型。_苏州姑苏桃花坞东百花巷二手房(苏州链家),2020-06-28,4室1厅,81.4, (共3层),46069
南门,0,0,普通住宅,桂花新村,高,0,0,107102733318,600,精装修，拎包入住，满五唯一，业主诚售_苏州姑苏南门桂花新村二手房(苏州链家),2020-06-28,4室2厅,127, (共4层),47245
平江新城,2,19.84,普通住宅,苏锦一村,低,0,0,107102733640,450,苏锦一村 6室1厅 450万_苏州姑苏平江新城苏锦一村二手房(苏州链家),2020-06-28,6室1厅,120, (共3层),37500
南门,0,0,普通住宅,新养蚕里新村,低,0,0,107102735424,360,平直振华 新养蚕里新村 一楼带院子开门 精装四房_苏州姑苏南门新养蚕里新村二手房(苏州链家),2020-06-28,4室2厅,73.52, (共3层),48967
十全街,0,0,普通住宅,沧浪亭后2号,低,0,0,107102737128,1400,位置好，小区配套齐全，交通便利_苏州姑苏十全街沧浪亭后2号二手房(苏州链家),2020-06-29,6室2厅,267, (共2层),52435
沧浪新城,2,25.94,普通住宅,博雅苑,高,0,0,107102743880,700,多层复式，保养佳，带南北双露，带2个租的车位_苏州姑苏沧浪新城博雅苑二手房(苏州链家),2020-06-30,4室2厅,166, (共4层),42169
沧浪新城,1,6.93,普通住宅,长欣苑南区,高,0,0,107102745849,264,地铁口，  满五唯一，车位跟房走有车库，_苏州姑苏沧浪新城长欣苑南区二手房(苏州链家),2020-07-01,4室2厅,157.5, (共5层),16762
金门,0,0,普通住宅,阊胥路102号,高,0,0,107102746426,370,阊胥路102号精装修房子 南浩街 红旗新村_苏州姑苏金门阊胥路102号二手房(苏州链家),2020-07-01,6室2厅,197, (共5层),18782
金门,1,13.09,普通住宅,馨泓花园B区,高,0,0,107102746677,418,已申请装电梯，满五年，家电品质，拎包入住，_苏州姑苏金门馨泓花园B区二手房(苏州链家),2020-07-01,5室3厅,158, (共5层),26456
胥江,0,0,普通住宅,梅亭苑,高,0,0,107102748824,245,四楼复式  带28平独立产证的车库。_苏州姑苏胥江梅亭苑二手房(苏州链家),2020-07-01,4室2厅,106, (共4层),23114
胥江,1,12.97,普通住宅,润达新村,高,0,0,107102749394,244,润达新村4房2卫小区中间位置，带独立自行车库_苏州姑苏胥江润达新村二手房(苏州链家),2020-07-02,5室2厅,108, (共6层),22593
沧浪新城,0,0,别墅,福星小区,低,0,0,107102750387,750,全明联排别墅，格局好，楼层好，视野开阔_苏州姑苏沧浪新城福星小区二手房(苏州链家),2020-07-02,5室3厅,217.9, (共3层),34420
平江新城,0,0,普通住宅,梅花新村,高,0,0,107102755736,245,梅花新村 7室2厅 245万_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-07-03,7室2厅,150, (共6层),16334
虎丘,1,8.24,普通住宅,虎阜花园西区,高,0,0,107102756472,290,此房满二年，小区门口有6号线站台，阳光充足！_苏州姑苏虎丘虎阜花园西区二手房(苏州链家),2020-07-03,4室2厅,147, (共5层),19728
留园西园,0,0,别墅,桐邨,低,1,26.12,107102760372,750,桐邨，下叠别墅，全新纯毛坯，带花园，有汽车库！_苏州姑苏留园西园桐邨二手房(苏州链家),2020-07-04,5室3厅,290.91, (共1层),25782
葑门,0,0,普通住宅,现代花园,高,0,0,107102761989,278,房龄新，带独库，全明户型，精装修，5楼复式。_苏州姑苏葑门现代花园二手房(苏州链家),2020-07-04,4室2厅,108.42, (共5层),25642
沧浪新城,1,10.46,普通住宅,承信小区,高,0,0,107102762460,375,房东诚售，户型正气，采光好，带独立汽车库河自行车库_苏州姑苏沧浪新城承信小区二手房(苏州链家),2020-07-04,5室2厅,191.7, (共5层),19562
留园西园,1,8.39,普通住宅,中天品苑西区,高,0,0,107102763103,380,姑苏新房源中天品苑复式精装全明户型通透业主诚售_苏州姑苏留园西园中天品苑西区二手房(苏州链家),2020-07-04,4室3厅,121.39, (共6层),31305
留园西园,0,0,普通住宅,莲花新村（姑苏）,高,0,0,107102763445,225,莲花新村 好房出售 拎包入住  看房方便 诚心出售_苏州姑苏留园西园莲花新村（姑苏）二手房(苏州链家),2020-07-04,4室2厅,126, (共5层),17858
葑门,0,0,普通住宅,现代花园,高,0,0,107102766142,204,此房满五唯一 4房朝南 格局好 视野开阔 交通便利_苏州姑苏葑门现代花园二手房(苏州链家),2020-07-05,4室2厅,97.48, (共5层),20928
金阊新城,0,0,普通住宅,富强新苑二区,高,0,0,107102769783,310,富强新苑 大户顶楼复式 堪称空中小别墅全天采光_苏州姑苏金阊新城富强新苑二区二手房(苏州链家),2020-07-06,5室2厅,188, (共5层),16490
平江新城,0,0,普通住宅,鼎尚花园(姑苏区),高,0,0,107102773119,220,满五唯一，自住装修，适宜居住。_苏州姑苏平江新城鼎尚花园(姑苏区)二手房(苏州链家),2020-07-07,4室2厅,92, (共5层),23914
桃花坞,3,31.21,普通住宅,高师巷散盘,低,0,0,107102773243,480,高师巷散盘 4室3厅 480万_苏州姑苏桃花坞高师巷散盘二手房(苏州链家),2020-07-07,4室3厅,163, (共3层),29448
十全街,0,0,普通住宅,船舫巷,低,0,0,107102777532,700,此房满五唯一，带15平车库，顶带阁楼实际面积较大。_苏州姑苏十全街船舫巷二手房(苏州链家),2020-07-08,4室3厅,170, (共3层),41177
苏州大学,1,13.76,普通住宅,苏大北小区,高,0,0,107102778305,360,护城河畔苏大北小区，诚意出售，交通方便，离地铁近_苏州姑苏苏州大学苏大北小区二手房(苏州链家),2020-07-08,5室2厅,88.34, (共5层),40752
虎丘,0,0,普通住宅,虎阜花园东区,高,0,0,107102778692,300,虎阜花园东区93平复式 产证面积160平 满两年 草桥_苏州姑苏虎丘虎阜花园东区二手房(苏州链家),2020-07-08,5室3厅,160, (共5层),18750
金阊新城,0,0,普通住宅,宝邻苑,高,0,0,107102724909,200,宝邻苑 4室2厅 200万_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-26,4室2厅,81.7, (共6层),24480
胥江,0,0,普通住宅,公园天下,高,0,0,107102680178,580,hao装 空中叠墅 中 央空调+地暖 满五唯一，位置安静_苏州姑苏胥江公园天下二手房(苏州链家),2020-06-15,4室2厅,285, (共5层),20351
金门,3,39.85,普通住宅,三香弄八号小区,高,0,0,107102680894,236,三香弄八号小区 4室2厅 236万_苏州姑苏金门三香弄八号小区二手房(苏州链家),2020-06-16,4室2厅,135, (共6层),17482
平江新城,0,0,普通住宅,梅花三村,高,0,0,107102685082,205,梅花三村 顶楼复式 4房 不满2年_苏州姑苏平江新城梅花三村二手房(苏州链家),2020-06-17,4室2厅,98.86, (共5层),20737
留园西园,0,0,别墅,姑苏院子,低,0,0,107102685236,768,下叠别墅，前后两个院子，位置好，看房方便_苏州姑苏留园西园姑苏院子二手房(苏州链家),2020-06-17,7室5厅,256, (共6层),30000
葑门,0,0,普通住宅,现代花园,高,0,0,107102687375,270,品牌婚装，全明通透户型，大空间复式，房东诚心卖。_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-17,4室2厅,111, (共5层),24325
南门,2,10.879999999999999,普通住宅,泰华苑,高,0,0,107102687937,510,泰华苑 4室2厅 510万_苏州姑苏南门泰华苑二手房(苏州链家),2020-06-18,4室2厅,152.88, (共4层),33360
齐门,3,28.099999999999998,普通住宅,东蒋家场,高,0,0,107102689301,368,护城河内，晋合水巷别墅旁，近拙政园，四楼复式，上叠_苏州姑苏齐门东蒋家场二手房(苏州链家),2020-06-18,4室2厅,166, (共4层),22169
苏州大学,0,0,普通住宅,东环路1165号,高,0,0,107102689437,420,满五年不唯一，有随时看房，也可上门直接看。_苏州姑苏苏州大学东环路1165号二手房(苏州链家),2020-06-18,5室2厅,193, (共5层),21762
胥江,1,11.44,普通住宅,金桥新村,高,0,0,107102690600,220,满五唯一  轻轨2号线 复式精装修 带16平独库 价格可谈_苏州姑苏胥江金桥新村二手房(苏州链家),2020-06-18,4室2厅,118.92, (共6层),18500
南门,1,18.54,普通住宅,桂花新村,高,0,0,107102690723,450,桂花二期 顶楼复式 四房两厅 满五唯一免个税 近地铁_苏州姑苏南门桂花新村二手房(苏州链家),2020-06-18,4室2厅,84, (共4层),53572
南门,1,17.9,普通住宅,水城丽都,高,0,0,107102691701,415,水城丽都 4室1厅 415万_苏州姑苏南门水城丽都二手房(苏州链家),2020-06-18,4室1厅,154.66, (共5层),26834
齐门,0,0,别墅,华润平门府,低,0,0,107102694111,1880,华润平门府 8室4厅 1880万_苏州姑苏齐门华润平门府二手房(苏州链家),2020-06-19,8室4厅,472.74, (共2层),39769
沧浪新城,1,9.57,普通住宅,水香六村,高,0,0,107102697123,262,水香六村 四房复式 独库 看房方便_苏州姑苏沧浪新城水香六村二手房(苏州链家),2020-06-20,4室2厅,91.31, (共5层),28694
十全街,0,0,普通住宅,福园小区,高,0,0,107102698024,580,福园小区 5室2厅 580万_苏州姑苏十全街福园小区二手房(苏州链家),2020-06-20,5室2厅,128.28, (共5层),45214
石路,2,30.4,普通住宅,干将西路500号小区,高,0,0,107102701951,335,干将路旁复式带晒台  独立自行车库 诚心出售_苏州姑苏石路干将西路500号小区二手房(苏州链家),2020-06-21,4室2厅,102.21, (共5层),32776
平江新城,0,0,普通住宅,苏锦二村北区,高,0,0,107102702135,315,苏锦二村北区 4室2厅 315万_苏州姑苏平江新城苏锦二村北区二手房(苏州链家),2020-06-21,4室2厅,100.4, (共5层),31375
留园西园,0,0,普通住宅,桐仁花园,高,0,0,107102702780,275,桐仁花园16年房子 4开间朝南，小区环境好_苏州姑苏留园西园桐仁花园二手房(苏州链家),2020-06-21,4室2厅,80, (共5层),34375
金阊新城,0,0,普通住宅,宝邻苑,高,0,0,107102702863,195,婚装房 顶楼复式 满两年 户型方正 学府一条街 有车库_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-21,4室2厅,86.36, (共6层),22580
胥江,2,14.74,普通住宅,巴桥头新村,高,0,0,107102705191,210,巴桥头新村，复式四居，自住装修，看房方便_苏州姑苏胥江巴桥头新村二手房(苏州链家),2020-06-21,4室1厅,99.3, (共6层),21149
葑门,0,0,普通住宅,现代花园,高,0,0,107102705312,288,东环沿线好地段  5楼复式房 4个朝南房间 高得房率_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-21,4室2厅,117.5, (共5层),24511
胥江,1,18.23,普通住宅,劳动路550号,高,0,0,107102707100,285,轻轨二号线 龙湖天街旁劳动路550号 复式房 带有大晒台_苏州姑苏胥江劳动路550号二手房(苏州链家),2020-06-22,4室2厅,150, (共5层),19000
