,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,pschool,mschool,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
0,平江新城,1,10.49,普通住宅,梅花新村,高,0,0.0,107102814048,225.0,总价低，可谈，精装修房东自住，房东诚心出售_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-07-17,5室2厅,160.0, (共6层),14063,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,17000,-1000.0,-475.5,15524.5,248.392
4,金门,1,14.95,普通住宅,银杏苑(姑苏区),高,0,0.0,107102784424,350.0,金茂府旁新上银杏苑5楼复式 全明户型 随时看房_苏州姑苏金门银杏苑(姑苏区)二手房(苏州链家),2020-07-10,5室2厅,230.0, (共5层),15218,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,20000,-1000.0,747.4999999999999,19747.5,454.1925
7,南门,0,0.0,普通住宅,新桥巷,高,0,0.0,107102789255,215.0,满五唯一，房东自住精装修，二合一车库_苏州姑苏南门新桥巷二手房(苏州链家),2020-07-11,4室2厅,137.0, (共5层),15694,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,21000,-1000.0,-1000.0,19000.0,260.3
9,南门,0,0.0,普通住宅,泰华苑,高,0,0.0,107102789318,420.0,姑苏区，人民路，泰华苑，四楼复式有汽车库，诚售_苏州姑苏南门泰华苑二手房(苏州链家),2020-07-11,6室2厅,211.5, (共4层),19859,4,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,21000,-1000.0,0.0,20000.0,422.0
11,留园西园,1,9.12,普通住宅,春馨园D区,高,0,0.0,107102790969,199.0,房子复式顶带阁，视野开阔，房型好_苏州姑苏留园西园春馨园D区二手房(苏州链家),2020-07-11,4室2厅,108.03, (共5层),18421,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,20000,-1000.0,455.99999999999994,19456.0,210.1248
14,虎丘,0,0.0,普通住宅,虎阜花园东区,高,0,0.0,107102791917,220.0,此房采光好，视野佳，诚意出售，看房提前约_苏州姑苏虎丘虎阜花园东区二手房(苏州链家),2020-07-11,4室2厅,100.0, (共5层),22000,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17000,-1000.0,-1000.0,15000.0,150.0
15,虎丘,0,0.0,普通住宅,虎阜花园东区,高,0,0.0,107102791943,250.0,虎阜花园东区 4室2厅 250万_苏州姑苏虎丘虎阜花园东区二手房(苏州链家),2020-07-11,4室2厅,122.0, (共5层),20492,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,17000,-1000.0,-1000.0,15000.0,183.0
16,胥江,0,0.0,普通住宅,梅亭苑,高,0,0.0,107102792447,234.0,梅亭苑 4室2厅 234万_苏州姑苏胥江梅亭苑二手房(苏州链家),2020-07-11,4室2厅,112.0, (共5层),20893,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,20000,-1000.0,-1000.0,18000.0,201.6
18,金门,0,0.0,普通住宅,三元二村,高,0,0.0,107102796275,240.0,西环地铁口 三元二村 装修一年多_苏州姑苏金门三元二村二手房(苏州链家),2020-07-12,4室2厅,141.85, (共7层),16920,7,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,20000,-1000.0,-3000.0,16000.0,225.6
20,娄门,1,7.99,普通住宅,日规路1号,高,0,0.0,107102798393,245.0,东环路 日规路1号 顶楼复式 采光好 满五年唯一_苏州姑苏娄门日规路1号二手房(苏州链家),2020-07-12,4室2厅,116.0, (共6层),21121,6,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,116.0,0.0,1.0,21000,-3000.0,1199.5,19199.5,222.7142
21,齐门,0,0.0,普通住宅,平齐花苑,低,0,0.0,107102798414,408.0,平齐花苑 一楼复式带汽车库 楼下90平不体现三开间朝南_苏州姑苏齐门平齐花苑二手房(苏州链家),2020-07-12,7室3厅,197.82, (共4层),20625,4,平齐花苑,2001.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,197.0,0.0,0.0,21000,-1500.0,500.0,20000.0,394.0
22,留园西园,0,0.0,普通住宅,新庄二村,高,0,0.0,107102799974,220.0,新庄二村 4室2厅 220万_苏州姑苏留园西园新庄二村二手房(苏州链家),2020-07-13,4室2厅,113.0, (共6层),19470,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,20000,-1000.0,-2000.0,17000.0,192.1
