,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,pschool,mschool,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
7,胥江,1,17.77,普通住宅,三香花园,高,0,0.0,107102840794,378.0,近地铁 三香花园精装四楼复式 露台朝南 业主诚心出售_苏州姑苏胥江三香花园二手房(苏州链家),2020-07-23,5室2厅,166.0, (共4层),22772,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,20000,-1000.0,1888.5,20888.5,346.7491
56,胥江,1,48.37,普通住宅,润达新村,高,0,0.0,107102825161,370.0,润达三期，小区中间位置复式安静采光好，有大车库_苏州姑苏胥江润达新村二手房(苏州链家),2020-07-19,4室3厅,151.0, (共4层),24504,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,20000,-1000.0,3418.5,22418.5,338.51935
95,娄门,1,16.29,普通住宅,永林新村,高,0,0.0,107102713988,350.0,永林新村 4室2厅 350万_苏州姑苏娄门永林新村二手房(苏州链家),2020-06-24,4室2厅,158.0, (共4层),22152,4,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,21000,-1000.0,1814.5,21814.5,344.6691
118,留园西园,0,0.0,别墅,桐邨,低,1,26.12,107102760372,750.0,桐邨，下叠别墅，全新纯毛坯，带花园，有汽车库！_苏州姑苏留园西园桐邨二手房(苏州链家),2020-07-04,5室3厅,290.91, (共1层),25782,1,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,290.0,1.0,0.0,20000,-1000.0,7306.0,26306.0,710.2572700000001
137,齐门,3,28.1,普通住宅,东蒋家场,高,0,0.0,107102689301,358.0,政园小区旁，晋府别墅旁，近拙政园，四楼复式，似上叠_苏州姑苏齐门东蒋家场二手房(苏州链家),2020-06-18,4室2厅,166.0, (共4层),21567,4,东蒋家场,2001.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,166.0,1.0,0.0,23000,-3000.0,7405.0,27405.0,454.923
167,留园西园,4,70.8,别墅,玖园,低,1,23.1,107102633393,880.0,市区虎丘联排 园林风格别墅 两车库车位 有钥匙_苏州姑苏留园西园玖园二手房(苏州链家),2020-06-05,5室2厅,382.5, (共2层),23007,2,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,382.0,1.0,0.0,20000,-1000.0,11695.0,30695.0,1024.992141
195,南门,2,25.08,普通住宅,西二路散盘,高,0,0.0,107102606469,260.0,总价低，地段好，交通方便 小区环境好，配套完善_苏州姑苏南门西二路散盘二手房(苏州链家),2020-05-31,4室2厅,131.25, (共4层),19810,4,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,21000,-3000.0,2254.0,20254.0,265.3274
225,南门,3,32.059999999999995,普通住宅,盘溪新村上沙苑,高,0,0.0,107102568141,328.0,盘溪新村上沙苑，中间位置，品质房源。_苏州姑苏南门盘溪新村上沙苑二手房(苏州链家),2020-05-22,4室2厅,151.74, (共4层),21616,4,盘溪新村上沙苑,1996.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,20000,-5000.0,2603.0,17603.0,265.8053
240,胥江,1,17.74,普通住宅,银桥新村,高,0,0.0,107102544980,335.0,红房子四楼复式，带晒台，带汽车库，有钥匙，诚心出售_苏州姑苏胥江银桥新村二手房(苏州链家),2020-05-17,4室3厅,146.0, (共4层),22946,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,20000,-1000.0,1887.0,20887.0,304.9502
272,十全街,1,20.92,普通住宅,南石皮弄,低,0,0.0,107102484587,430.0,南石皮弄 5室2厅 430万_苏州姑苏十全街南石皮弄二手房(苏州链家),2020-05-05,5室2厅,160.0, (共2层),26875,2,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,160.0,1.0,0.0,23000,-1000.0,7046.0,29046.0,464.736
