,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,pschool,mschool,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
5,金门,2,18.78,普通住宅,采香花园,高,0,0.0,107102838641,328.0,地铁口 满五年 精装复式房 上下六开间朝南 采光无遮挡_苏州姑苏金门采香花园二手房(苏州链家),2020-07-22,6室3厅,193.0, (共6层),16995,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,20000,-1000.0,-61.0,18939.0,365.5227
6,娄门,1,12.04,普通住宅,永林二区,高,0,0.0,107102838769,270.0,永林二村 护城河畔 精装修 空中阁楼 全天采光_苏州姑苏娄门永林二区二手房(苏州链家),2020-07-22,4室1厅,121.4, (共5层),22241,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,121.0,0.0,1.0,21000,-1000.0,634.9489291598028,20634.948929159804,249.6828820428336
7,胥江,1,17.77,普通住宅,三香花园,高,0,0.0,107102840794,378.0,近地铁 三香花园精装四楼复式 露台朝南 业主诚心出售_苏州姑苏胥江三香花园二手房(苏州链家),2020-07-23,5室2厅,166.0, (共4层),22772,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,20000,-1000.0,1888.5,20888.5,346.7491
8,石路,2,31.26,普通住宅,凯旋花园,高,0,0.0,107102846415,309.0,石路旁边 凯旋花园复式 楼上附加面积超过100平米_苏州姑苏石路凯旋花园二手房(苏州链家),2020-07-24,7室3厅,139.86, (共6层),22094,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,20000,-1000.0,563.0000000000002,19563.0,271.9257
9,胥江,3,35.17,普通住宅,解放新村,高,0,0.0,107102846506,329.0,解放新村2000年房龄 南北大露台 带独库10平方_苏州姑苏胥江解放新村二手房(苏州链家),2020-07-24,4室2厅,150.0, (共6层),21934,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,20000,-1000.0,758.5000000000002,19758.5,296.3775
11,胥江,0,0.0,普通住宅,梅亭苑,高,0,0.0,107102848978,290.0,顶楼复式带阁楼带车库精装修高品质全明户型的优秀房源_苏州姑苏胥江梅亭苑二手房(苏州链家),2020-07-25,4室3厅,130.5, (共5层),22223,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,1.0,20000,-1000.0,-963.6015325670498,18036.39846743295,234.47318007662835
12,留园西园,1,11.46,普通住宅,新庄二村,高,0,0.0,107102849617,195.0,诚心出售，全新精装修，房东急售有钥匙_苏州姑苏留园西园新庄二村二手房(苏州链家),2020-07-25,4室3厅,73.41, (共5层),26564,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,20000,-1000.0,573.0000000000001,19573.0,142.8829
13,胥江,2,22.03,普通住宅,金桥新村,高,0,0.0,107102853168,215.0,请留步，此房满五，视野开阔，采光充足，带阳光房。_苏州姑苏胥江金桥新村二手房(苏州链家),2020-07-26,4室1厅,140.0, (共6层),15358,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,20000,-1000.0,101.50000000000023,19101.5,267.421
15,金门,1,9.68,普通住宅,新元二村,高,0,0.0,107102855143,370.0,新元二村 4室2厅 370万_苏州姑苏金门新元二村二手房(苏州链家),2020-07-26,4室2厅,186.44, (共4层),19846,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,20000,-1000.0,1484.0,20484.0,381.0024
18,胥江,0,0.0,普通住宅,巴里新村,高,0,0.0,107102859993,195.0,房子精装修，配套齐全，出行方便_苏州姑苏胥江巴里新村二手房(苏州链家),2020-07-27,4室2厅,120.0, (共5层),16250,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,20000,-1000.0,-1000.0,18000.0,216.0
19,胥江,1,23.8,普通住宅,新康花园,高,0,0.0,107102861161,400.0,新康花园 近桐泾公园 看房方便 采光好_苏州姑苏胥江新康花园二手房(苏州链家),2020-07-27,5室2厅,202.0, (共6层),19802,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,20000,-1000.0,190.0,19190.0,387.638
20,葑门,2,23.12,普通住宅,杨枝四村,高,0,0.0,107102861629,248.0,杨枝四村  五楼复式  18平车库  满五年  精装修_苏州姑苏葑门杨枝四村二手房(苏州链家),2020-07-28,4室1厅,110.88, (共6层),22367,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,20000,-1000.0,156.00000000000023,19156.0,210.716
21,金阊新城,0,0.0,普通住宅,富强新苑一区,高,0,0.0,107102864449,258.0,富强新苑一区 4室2厅 258万_苏州姑苏金阊新城富强新苑一区二手房(苏州链家),2020-07-29,4室2厅,152.0, (共5层),16974,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,17000,-1000.0,-1000.0,15000.0,228.0
26,金门,0,0.0,普通住宅,三元四村,高,0,0.0,107102868492,260.0,新上三元四村 四房 采光无遮挡 业主诚心出售 看房方便_苏州姑苏金门三元四村二手房(苏州链家),2020-07-29,4室2厅,119.0, (共6层),21849,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,20000,-1000.0,-2000.0,17000.0,202.3
28,苏州大学,0,0.0,普通住宅,宏葑新村,低,0,0.0,107102871447,340.0,苏州大学宏葑新村三楼复式精装5房诚意出售看房随时。_苏州姑苏苏州大学宏葑新村二手房(苏州链家),2020-07-30,5室2厅,165.0, (共3层),20607,3,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,20000,-1000.0,500.0,19500.0,321.75
31,胥江,0,0.0,普通住宅,梅亭苑,高,0,0.0,107102792447,210.0,顶带阁楼带自行车库，四房朝南，自住装修保养好_苏州姑苏胥江梅亭苑二手房(苏州链家),2020-07-11,4室2厅,112.0, (共5层),18750,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,1.0,20000,-1000.0,900.0,19900.0,222.88
34,金门,0,0.0,普通住宅,三元二村,高,0,0.0,107102796275,237.0,西环地铁口 三元二村 装修一年多_苏州姑苏金门三元二村二手房(苏州链家),2020-07-12,4室2厅,141.85, (共7层),16708,7,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,20000,-1000.0,-3000.0,16000.0,225.6
36,娄门,1,7.99,普通住宅,日规路1号,高,0,0.0,107102798393,245.0,东环路 日规路1号 顶楼复式 采光好 满五年唯一_苏州姑苏娄门日规路1号二手房(苏州链家),2020-07-12,4室2厅,116.0, (共6层),21121,6,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,116.0,0.0,1.0,21000,-3000.0,1199.5,19199.5,222.7142
37,齐门,0,0.0,普通住宅,平齐花苑,低,0,0.0,107102798414,399.0,平齐花苑 一楼复式带汽车库 楼下90平不体现三开间朝南_苏州姑苏齐门平齐花苑二手房(苏州链家),2020-07-12,7室3厅,197.82, (共4层),20170,4,平齐花苑,2001.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,197.0,0.0,0.0,21000,-1500.0,500.0,20000.0,394.0
38,留园西园,0,0.0,普通住宅,新庄二村,高,0,0.0,107102799974,220.0,新庄二村 4室2厅 220万_苏州姑苏留园西园新庄二村二手房(苏州链家),2020-07-13,4室2厅,113.0, (共6层),19470,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,20000,-1000.0,-2000.0,17000.0,192.1
40,金门,2,45.47,普通住宅,干将名邸,高,0,0.0,107102800620,400.0,干将名邸 4室2厅 400万_苏州姑苏金门干将名邸二手房(苏州链家),2020-07-13,4室2厅,180.0, (共5层),22223,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,20000,-1000.0,2273.5,21273.5,382.923
44,平江新城,0,0.0,普通住宅,汇翠花园,高,0,0.0,107102806692,339.0,新上顶复  121+79  业主诚心出售  采光很好_苏州姑苏平江新城汇翠花园二手房(苏州链家),2020-07-15,5室2厅,200.0, (共5层),16950,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1.0,17000,-1000.0,600.0,16600.0,332.0
45,胥江,0,0.0,普通住宅,新康花园,高,0,0.0,107102806861,396.0,新康花园 新上房源 南北通透格局好 使用面积大_苏州姑苏胥江新康花园二手房(苏州链家),2020-07-15,6室3厅,221.08, (共6层),17913,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,20000,-1000.0,-2000.0,17000.0,375.7
46,葑门,0,0.0,普通住宅,现代花园,高,0,0.0,107102807270,235.0,二期房龄新采光足，业主诚心出售哦_苏州姑苏葑门现代花园二手房(苏州链家),2020-07-15,4室2厅,101.02, (共5层),23263,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,20000,-1000.0,-1000.0,18000.0,181.8
49,胥江,2,42.25,普通住宅,潼泾新村,高,0,0.0,107102811306,310.0,满五唯一，顶楼带双露台，有车库，房龄新，诚心卖！_苏州姑苏胥江潼泾新村二手房(苏州链家),2020-07-16,4室2厅,176.62, (共5层),17552,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,20000,-1000.0,2112.5,21112.5,371.58
50,平江新城,1,6.49,普通住宅,梅花新村,高,0,0.0,107102814048,220.0,总价低，可谈，精装修房东自住，房东诚心出售_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-07-17,5室2厅,160.0, (共6层),13750,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,17000,-1000.0,-675.5,15324.5,245.192
51,胥江,0,0.0,普通住宅,金桥新村,高,0,0.0,107102816453,212.0,金桥新村 4室2厅 212万_苏州姑苏胥江金桥新村二手房(苏州链家),2020-07-17,4室2厅,97.0, (共6层),21856,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,20000,-1000.0,-2000.0,17000.0,164.9
56,胥江,1,48.37,普通住宅,润达新村,高,0,0.0,107102825161,370.0,润达三期，小区中间位置复式安静采光好，有大车库_苏州姑苏胥江润达新村二手房(苏州链家),2020-07-19,4室3厅,151.0, (共4层),24504,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,20000,-1000.0,3418.5,22418.5,338.51935
57,金门,1,20.5,普通住宅,菱塘新村二区,高,0,0.0,107102827283,284.0,干将路旁 地铁口边上独立汽车库  满五唯一  采光充足_苏州姑苏金门菱塘新村二区二手房(苏州链家),2020-07-19,4室2厅,162.3, (共5层),17499,5,菱塘新村二区,1998.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,20000,-4000.0,1025.0,17025.0,275.805
58,南门,3,25.09,普通住宅,盘溪新村上沙苑,高,0,0.0,107102832233,257.0,盘溪新村上沙苑 5室2厅 257万_苏州姑苏南门盘溪新村上沙苑二手房(苏州链家),2020-07-21,5室2厅,158.99, (共6层),16165,6,盘溪新村上沙苑,1996.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,20000,-5000.0,254.5,15254.5,241.0211
60,虎丘,0,0.0,普通住宅,虎阜花园东区,高,0,0.0,107102791943,250.0,虎阜花园东区 4室2厅 250万_苏州姑苏虎丘虎阜花园东区二手房(苏州链家),2020-07-11,4室2厅,122.0, (共5层),20492,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,17000,-1000.0,-1000.0,15000.0,183.0
61,沧浪新城,1,10.46,普通住宅,承信小区,高,0,0.0,107102762460,375.0,房东诚售，户型正气，采光好，带独立汽车库河自行车库_苏州姑苏沧浪新城承信小区二手房(苏州链家),2020-07-04,5室2厅,191.7, (共5层),19562,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,17000,-1000.0,523.0,16523.0,315.5893
63,留园西园,0,0.0,普通住宅,莲花新村（姑苏）,高,0,0.0,107102763445,224.8,莲花新村 好房出售 拎包入住  看房方便 诚心出售_苏州姑苏留园西园莲花新村（姑苏）二手房(苏州链家),2020-07-04,4室2厅,126.0, (共5层),17842,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,20000,-1000.0,-1000.0,18000.0,226.8
