,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
3,胥江,0,0.0,普通住宅,公园天下,高,0,0.0,107102680178,580.0,精装顶复 满五唯一，位置好  装修保养好_苏州姑苏胥江公园天下二手房(苏州链家),2020-06-15,4室2厅,285.0, (共5层),20351,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,285.0,0.0,1.0,20000,-500.0,-50.0,19450.0,532.3336875
5,金门,3,39.85,普通住宅,三香弄八号小区,高,0,0.0,107102680894,238.0,三香弄八号小区 4室2厅 238万_苏州姑苏金门三香弄八号小区二手房(苏州链家),2020-06-16,4室2厅,135.0, (共6层),17630,6,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,0.0,0.0,20000,-2500.0,-7.5,17492.5,236.14875
6,平江新城,0,0.0,普通住宅,梅花三村,高,0,0.0,107102685082,205.0,梅花三村 顶楼复式 4房 不满2年_苏州姑苏平江新城梅花三村二手房(苏州链家),2020-06-17,4室2厅,98.86, (共5层),20737,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,1.0,17000,-500.0,-1928.2318430103176,14571.768156989683,142.8033279384989
8,葑门,0,0.0,普通住宅,现代花园,高,0,0.0,107102687375,270.0,品牌婚装，全明通透户型，大空间复式，房东诚心卖。_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-17,4室2厅,111.0, (共5层),24325,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,111.0,0.0,0.0,20000,-500.0,-2000.0,17500.0,194.25
10,胥江,1,11.44,普通住宅,金桥新村,高,0,0.0,107102690600,255.0,满五唯一  轻轨2号线 复式精装修 带16平独库 价格可谈_苏州姑苏胥江金桥新村二手房(苏州链家),2020-06-18,4室2厅,120.0, (共6层),21250,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,120.0,0.0,0.0,20000,-500.0,-1428.0,18072.0,216.864
12,胥江,0,0.0,普通住宅,泰南苑,低,0,0.0,107102693177,370.0,此房满5不唯一，户型好，采光好，楼层好，视野宽阔_苏州姑苏胥江泰南苑二手房(苏州链家),2020-06-19,4室2厅,162.16, (共4层),22817,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,162.0,0.0,0.0,20000,-500.0,500.0,20000.0,324.0
19,金阊新城,0,0.0,普通住宅,宝邻苑,高,0,0.0,107102702863,195.0,宝邻苑 4室2厅 195万_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-21,4室2厅,86.36, (共6层),22580,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,17000,-500.0,-3000.0,13500.0,116.1
20,胥江,2,14.74,普通住宅,巴桥头新村,高,0,0.0,107102705191,210.0,巴桥头新村，复式四居，自住装修，看房方便_苏州姑苏胥江巴桥头新村二手房(苏州链家),2020-06-21,4室1厅,99.3, (共6层),21149,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0,20000,-500.0,-1263.0,18237.0,180.5463
21,葑门,0,0.0,普通住宅,现代花园,高,0,0.0,107102705312,290.0,东环沿线好地段  5楼复式房 4个朝南房间 高得房率_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-21,4室2厅,117.5, (共5层),24681,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,117.0,0.0,0.0,20000,-500.0,-2000.0,17500.0,204.75
22,胥江,0,0.0,普通住宅,劳动路550号,高,0,0.0,107102707100,285.0,劳动路550号 4室2厅 285万_苏州姑苏胥江劳动路550号二手房(苏州链家),2020-06-22,4室2厅,150.0, (共5层),19000,5,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,150.0,0.0,0.0,20000,-2500.0,-2000.0,15500.0,232.5
30,南门,2,19.03,普通住宅,大龙港新村,高,0,0.0,107102679481,280.0,2001年商品房，精装修，拎包直接入住，离地铁站近_苏州姑苏南门大龙港新村二手房(苏州链家),2020-06-15,4室3厅,135.27, (共6层),20700,6,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,135.0,0.0,0.0,21000,-500.0,-1048.5,19451.5,262.59525
33,沧浪新城,0,0.0,普通住宅,长欣苑,高,0,0.0,107102649309,300.0,相当棒的顶楼复式，南北双露台。完全没有一点漏水_苏州姑苏沧浪新城长欣苑二手房(苏州链家),2020-06-09,4室2厅,127.0, (共5层),23623,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,127.0,0.0,1.0,17000,-500.0,-350.0,16150.0,205.105
36,南门,1,10.8,普通住宅,盘门雅苑,高,0,0.0,107102651750,415.0,此房为全明格局，，前排无遮挡，采光充足。_苏州姑苏南门盘门雅苑二手房(苏州链家),2020-06-09,4室2厅,172.0, (共5层),24128,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,172.0,0.0,0.0,21000,-500.0,-460.0,20040.0,344.688
39,平江新城,0,0.0,普通住宅,华恒家园,高,0,0.0,107102657384,358.0,华恒家园 5室3厅 358万_苏州姑苏平江新城华恒家园二手房(苏州链家),2020-06-11,5室3厅,193.04, (共5层),18546,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,17000,-500.0,-2000.0,14500.0,279.85
43,留园西园,1,12.9,普通住宅,御庭苑,高,0,0.0,107102662116,329.5,御庭苑大复式，户型好，自行车库，看房有钥匙_苏州姑苏留园西园御庭苑二手房(苏州链家),2020-06-12,4室2厅,153.0, (共5层),21536,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,153.0,0.0,0.0,20000,-500.0,-355.0,19145.0,292.9185
44,留园西园,0,0.0,普通住宅,长盛花园,高,0,0.0,107102662140,330.0,长盛花园，精装修，独库，自住， 诚心出售，看中可谈_苏州姑苏留园西园长盛花园二手房(苏州链家),2020-06-12,5室2厅,156.0, (共4层),21154,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,156.0,0.0,0.0,20000,-500.0,-1000.0,18500.0,288.6
